sentence,label,clean-sentence
i hop ap reply jrur kroge..ap apne fans ka dil kbi nai todroge,2,i hop ap reply jrur kroge..ap apne fans ka dil kbi nai todroge
Sir.sera ke bad me mai aapka bodygurd rhunga..,2,sir.sera ke bad me mai aapka bodygurd rhunga..
Mere bhi ,1,mere bhi
ye sala kachhua sir maarte bahut hain,0,ye sala kachhua sir maarte bahut hain
garbage been .  . u make aweome cartoons .  . i always remember of my childhood days,2,garbage been . . u make aweome cartoons . . i always remember of my childhood days
modiji aap itna paysa ghumne me lagarahe ho desh girvi rakhana hai kya,0,modiji aap itna paysa ghumne me lagarahe ho desh girvi rakhana hai kya
Bnai aap keh rhe ho ki me muslmano ke bina bajragi bhaijaan hit kroga yhe sach h..,1,bnai aap keh rhe ho ki me muslmano ke bina bajragi bhaijaan hit kroga yhe sach h..
contra was added lately in this .  .  .  .  phir samajh aya tha ki laundo ko ullu bana rahe hain .  . ,0,contra was added lately in this . . . . phir samajh aya tha ki laundo ko ullu bana rahe hain . .
Ap India me Lana chahte isko uhh ,1,ap india me lana chahte isko uhh
"the video of porto  "" oportonity city ""  won the 1st prize in category cultural tourism in art&amp;tur international tourism film festival .  .  . ",1,"the video of porto "" oportonity city "" won the <NUM>st prize in category cultural tourism in art&amp;tur international tourism film festival . . ."
@someUSER is t it fake ?  the grammys nominations come out in december !  !  ! ,1,@someuser is t it fake ? the grammys nominations come out in december ! ! !
guddu k papa toh emotional ho gye .  .  .  . ,0,guddu k papa toh emotional ho gye . . . .
"@srkboo who-ever wins, atleast it should be an interesting match. #indvspak",1,"@srkboo who-ever wins, atleast it should be an interesting match. #indvspak"
yar maine socha tha ye page like kiya hain to du confession ayenge par yaha to bas ms ishita ke baare mein hi hain  .  .  .  admin naam change kar de  .  .  .  likh ishita confessions :p,1,yar maine socha tha ye page like kiya hain to du confession ayenge par yaha to bas ms ishita ke baare mein hi hain . . . admin naam change kar de . . . likh ishita confessions :p
#42   I think I met the person I want to spend the rest of my life with  ) ,2,#<NUM> i think i met the person i want to spend the rest of my life with )
"garbage bin tu dil jeet leta hai yaar ,  emotional kar diya",2,"garbage bin tu dil jeet leta hai yaar , emotional kar diya"
wah kya memory h ise 1st day of school yad h muje to 1st 100 days tak yad nahi h ,1,wah kya memory h ise <NUM>st day of school yad h muje to <NUM>st <NUM> days tak yad nahi h
hello koi mere se friendship karlo mere se aur single nahi raha jaata,1,hello koi mere se friendship karlo mere se aur single nahi raha jaata
ammi ko bata do keya 20 keya 1000 bhi mail jaiga,2,ammi ko bata do keya <NUM> keya <NUM> bhi mail jaiga
kraaa lungi ,1,kraaa lungi
looks like i'm going to knicks vs .  heat this sunday . ,1,looks like i'm going to knicks vs . heat this sunday .
"shemelessly corrupt media rallying behind corrupt parties for showing their campaign to fool the people of delhi forgetting their principles of journalisam ,  these paid media with corrupt nexeus working hard to fool people of delhi .  so far these very corrupt and paid media did not given any space for people's movement through janasbha ,  but keen in showing money power of corrupt parties",0,"shemelessly corrupt media rallying behind corrupt parties for showing their campaign to fool the people of delhi forgetting their principles of journalisam , these paid media with corrupt nexeus working hard to fool people of delhi . so far these very corrupt and paid media did not given any space for people's movement through janasbha , but keen in showing money power of corrupt parties"
kya kre maa ka payar h pagle :p,1,kya kre maa ka payar h pagle :p
Yog ,1,yog
"#arvindannaback and trust me they are not opposing #landacquisitionbill they are blocking ""make in india"" &amp; development of india. shame",0,"#arvindannaback and trust me they are not opposing #landacquisitionbill they are blocking ""make in india"" &amp; development of india. shame"
Bhai fadu hai,2,bhai fadu hai
koe nie  .  .  .   .  bst of luck fo ua future  .  .  :),2,koe nie . . . . bst of luck fo ua future . . :)
Mm keni padti hai.. ,1,mm keni padti hai..
"repio ceo neil cox is speaking at chicago's social media week tomorrow about  "" social media &amp; the changing face of employment - check it .  .  . ",1,"repio ceo neil cox is speaking at chicago's social media week tomorrow about "" social media &amp; the changing face of employment - check it . . ."
this one is the good .  . nahh noo .  . better .  . sunoo .  . better se jyada wale ko kya bolte he .  . haan .  . best till now :d,2,this one is the good . . nahh noo . . better . . sunoo . . better se jyada wale ko kya bolte he . . haan . . best till now :d
kya sallu bhai baat krne ki bola lekin reply to kisi ko kr hi nhi rhe,1,kya sallu bhai baat krne ki bola lekin reply to kisi ko kr hi nhi rhe
Kar liya ? ,1,kar liya ?
Swabhik tatti aana bhi hota h but tab bhi tu 7 din nhi jaata ,1,swabhik tatti aana bhi hota h but tab bhi tu <NUM> din nhi jaata
Are ka bhi ? ,0,are ka bhi ?
mai hat gaya buri halat hai,0,mai hat gaya buri halat hai
Toh bola ki supervised learning ,1,toh bola ki supervised learning
or yeh fenku to kejriwal se darr gea hai  .  .  . ,0,or yeh fenku to kejriwal se darr gea hai . . .
"i'm going to north mississippi allstars at neighborhood theatre in charlotte ,  nc - sep 21 http/URL",2,"i'm going to north mississippi allstars at neighborhood theatre in charlotte , nc - sep <NUM> http/url"
hahahaha .  .  .  .  . guddu apni bhvnyein chupane me vyast hai ;),2,hahahaha . . . . . guddu apni bhvnyein chupane me vyast hai ;)
ditto feeling,2,ditto feeling
"@someUSER we couldn't make it to jan though edd is 4 jan !  i'm a feb kid &amp; if it coincides with the cny ,  i only get 1 ang bao !  bah ! ",1,"@someuser we couldn't make it to jan though edd is <NUM> jan ! i'm a feb kid &amp; if it coincides with the cny , i only get <NUM> ang bao ! bah !"
club bodi may be out the question tonight,1,club bodi may be out the question tonight
Mohan naga Are kya kar ri h.. I mean explain kar thoda ,1,mohan naga are kya kar ri h.. i mean explain kar thoda
sir aap Lucknow kab aarahe ho,1,sir aap lucknow kab aarahe ho
Itna mat tarsaoo jaldi ayu,1,itna mat tarsaoo jaldi ayu
his highness shri shri shri sir ravindra jadeja walked in. #indvspak,1,his highness shri shri shri sir ravindra jadeja walked in. #indvspak
"@someUSER we haven't talked about it yet .  however ,  we are very excited about the jan revolution heifer calf that is inside of her . ",2,"@someuser we haven't talked about it yet . however , we are very excited about the jan revolution heifer calf that is inside of her ."
niii ,1,niii
ahikhar dhawan:135: highest run by any batsmen against south africa #cwc15 #indvssa #bleedblue,1,ahikhar dhawan:<NUM>: highest run by any batsmen against south africa #cwc<NUM> #indvssa #bleedblue
mummy papa k concentration wale faces !  :d,2,mummy papa k concentration wale faces ! :d
wow .  .  !  !  users now get free mobile recharge of rs . 350 in just 2 minutes . ,2,wow . . ! ! users now get free mobile recharge of rs . <NUM> in just <NUM> minutes .
Hlo sir kya aap kbhi mujhse baat krege kuchh hai jo aapse share krna chahti hu,1,hlo sir kya aap kbhi mujhse baat krege kuchh hai jo aapse share krna chahti hu
in loverz ne to metro ko b ni choda  / ,0,in loverz ne to metro ko b ni choda /
1 min bhaai,1,<NUM> min bhaai
@someUSER bring gta3/vice city 10th anniversaries to the ps vita ! ,1,@someuser bring gta<NUM>/vice city <NUM>th anniversaries to the ps vita !
thanx salman bhai..love u forever,2,thanx salman bhai..love u forever
"quiz tomorrow: plot elements in  "" the challenge ""  .  .  .  our current short story from the reading triumphs textbook .  #knighteng6",1,"quiz tomorrow: plot elements in "" the challenge "" . . . our current short story from the reading triumphs textbook . #knighteng<NUM>"
heavy rain over parts of ne .  some showers in cny .  any sun ?  how about the weekend ?  your forecast first at 4am on nbc-3 !  http/URL,1,heavy rain over parts of ne . some showers in cny . any sun ? how about the weekend ? your forecast first at <NUM>am on nbc-<NUM> ! http/url
Kahan  ? ,0,kahan ?
grat indian army & salman vai.,2,grat indian army & salman vai.
going to see kendrick lamar with @someUSER in jan :d,2,going to see kendrick lamar with @someuser in jan :d
pride par amit ji ne bata hoga sentence .  .  .  . so isliye shaan chup gaya .  .  .  ;) ;),1,pride par amit ji ne bata hoga sentence . . . . so isliye shaan chup gaya . . . ;) ;)
Mera ko bhi ek chance de do bajrangi bhaijaan,1,mera ko bhi ek chance de do bajrangi bhaijaan
tip to apple ceo: u may want to stop outsourcing your mapping apps to china .  while ur @ it how bout bring all those manufacturing jobs back . ,1,tip to apple ceo: u may want to stop outsourcing your mapping apps to china . while ur @ it how bout bring all those manufacturing jobs back .
rt @nerdy_balak: @kagarwal1222 mera naya slogan... copyright lunga iska.. doobegi dilli hogi kangal... agar aaya delhi me dubara kejriwal,0,rt @nerdy_balak: @kagarwal<NUM> mera naya slogan... copyright lunga iska.. doobegi dilli hogi kangal... agar aaya delhi me dubara kejriwal
jitni gaaliya mms ne 10 saal mein nahi khayi hogi usse jayada to namo ne 10 mahine mein kha li hai #superbudget #unionbudget2015,0,jitni gaaliya mms ne <NUM> saal mein nahi khayi hogi usse jayada to namo ne <NUM> mahine mein kha li hai #superbudget #unionbudget<NUM>
Sallu bhai patiala a jao apni film ki promotion ke liye...,1,sallu bhai patiala a jao apni film ki promotion ke liye...
yeh acting toh sabne ki hai school mein,1,yeh acting toh sabne ki hai school mein
rula dete hai ye gags about missing school life,0,rula dete hai ye gags about missing school life
arvind kejriwal is on a massive hugging spree. first the president then rajnat. ye poori desh ko hug dega. #delhidecides,1,arvind kejriwal is on a massive hugging spree. first the president then rajnat. ye poori desh ko hug dega. #delhidecides
mauka aab to patakhe india mai hi phutenge #bringiton #bleedblue #indvssa #cwc15,1,mauka aab to patakhe india mai hi phutenge #bringiton #bleedblue #indvssa #cwc<NUM>
" "" @someUSER c'mon leo where's endymion .  .  .  .  .  .  .  or amsterdam i know he likes amsterdam .  ""  those songs are shit compared to the ones i put",0,""" @someuser c'mon leo where's endymion . . . . . . . or amsterdam i know he likes amsterdam . "" those songs are shit compared to the ones i put"
nyc...mene active kr liya...,2,nyc...mene active kr liya...
bb ki liye toh maine already bol rakha hai abi se,1,bb ki liye toh maine already bol rakha hai abi se
Kal kaiko nhi ? ,1,kal kaiko nhi ?
"i posted 12 photos on facebook in the album  "" super sunday wid shobhit bhatia .  .  .  .  .  .  ""  http/URL",1,"i posted <NUM> photos on facebook in the album "" super sunday wid shobhit bhatia . . . . . . "" http/url"
aap ki EID ki party me hum ainge bhai,2,aap ki eid ki party me hum ainge bhai
"bucks backcourt mates brandon jennings and monta ellis had a  "" little brother-big brother ""  talk on sunday ,  as jennings described it . ",1,"bucks backcourt mates brandon jennings and monta ellis had a "" little brother-big brother "" talk on sunday , as jennings described it ."
watch out for nigeria @someUSER gej pre recorded speech tomorrow live from the tape via nta .  @someUSER,1,watch out for nigeria @someuser gej pre recorded speech tomorrow live from the tape via nta . @someuser
Nahi  abhi  kaha  ðŸ˜‹ ,1,nahi abhi kaha ðÿ˜‹
yr tabhi mene jamia miliya m adm . Nhi lia even mera entrace v clear ho gya tha bt jo v ho du iz best ..  ) ,1,yr tabhi mene jamia miliya m adm . nhi lia even mera entrace v clear ho gya tha bt jo v ho du iz best .. )
ye to bhai sallu miyan ki film kyunki se inspired gag hai,1,ye to bhai sallu miyan ki film kyunki se inspired gag hai
Bahot ho chuki hain teri dillagi  chale bhi aao abb shyam dhalne lagi.. :-),2,bahot ho chuki hain teri dillagi chale bhi aao abb shyam dhalne lagi.. :-)
ghum le puri Dunia chutia bana raha pure india ko kutta sala,0,ghum le puri dunia chutia bana raha pure india ko kutta sala
staff room m party wo b bacho ke paiso se hhuh  .  .  .  :p,0,staff room m party wo b bacho ke paiso se hhuh . . . :p
nahi to ak ladki kuvari rahe jayagi ,1,nahi to ak ladki kuvari rahe jayagi
"apni class me to teachers k wafadaar pille solar cooker aur pawan chakki market se purchase karke le aate the aur unke chakkar me humaare mehnat se banaaye projects ko sala koi poochta tak ni tha ,  class ki almaarion me pade pade sad jaate the :-( unki maa ka thermacol ,  waise dusro k thermocol k projects todke unhi k uppar 'holi hai' karne k bhi alag he maje tha . ",0,"apni class me to teachers k wafadaar pille solar cooker aur pawan chakki market se purchase karke le aate the aur unke chakkar me humaare mehnat se banaaye projects ko sala koi poochta tak ni tha , class ki almaarion me pade pade sad jaate the :-( unki maa ka thermacol , waise dusro k thermocol k projects todke unhi k uppar 'holi hai' karne k bhi alag he maje tha ."
Sab ka bhai salmaan bhai love you salmaan,2,sab ka bhai salmaan bhai love you salmaan
Chalte hain ,1,chalte hain
"AND THE WINNER OF THE CONTEST IS ASHISH INANI , HE GETS A VERY SPECIAL MENTION FOR TRYING TO OUTFOX US AS WELL AS FOR DOING SUPER RG SO NOBODY ELSE COULD WIN _/\\_ CONGRATULATIONS ",2,"and the winner of the contest is ashish inani , he gets a very special mention for trying to outfox us as well as for doing super rg so nobody else could win _/\\_ congratulations"
Aap apni selfie le k prfl pic pe set karo kyuki salman khan name k kafi I'd h,1,aap apni selfie le k prfl pic pe set karo kyuki salman khan name k kafi i'd h
Bhai aapke baare mein koi kuch bhi kahe hame kuch farak nahi padta aap hamare bhai ho allah aap ki movie ko super kare jumma mubarak bhai khuda hafiz,2,bhai aapke baare mein koi kuch bhi kahe hame kuch farak nahi padta aap hamare bhai ho allah aap ki movie ko super kare jumma mubarak bhai khuda hafiz
"jinja safari have hiccups ,  catch them live this thursday with opossom and white arrows on the blind date tour http/URL",1,"jinja safari have hiccups , catch them live this thursday with opossom and white arrows on the blind date tour http/url"
Asse log jo iss tarah ki harkat karte h unka to paida hona hi desh k liye abisaap h . ,1,asse log jo iss tarah ki harkat karte h unka to paida hona hi desh k liye abisaap h .
ro le fir,0,ro le fir
"Tension nehi leneka vai,kuch bhi ho jaye,kuch bhi loog kahe hum hamesha aapke saath hay,ek aan,ek shaan ek hamara bhaai Jaan :*just waiting for Bajrangi Bhaaijaan :)Love and Respect From Bangladesh..............",2,"tension nehi leneka vai,kuch bhi ho jaye,kuch bhi loog kahe hum hamesha aapke saath hay,ek aan,ek shaan ek hamara bhaai jaan :*just waiting for bajrangi bhaaijaan :)love and respect from bangladesh.............."
lady boner from channing tatum in the vow right now and the fact that i get mcdonald's breakfast tomorrow with @someUSER #winning,2,lady boner from channing tatum in the vow right now and the fact that i get mcdonald's breakfast tomorrow with @someuser #winning
ab mom ko kaise samjhaun ki sabka make alag hota hai :d :p,1,ab mom ko kaise samjhaun ki sabka make alag hota hai :d :p
Bhaiyya ? ,0,bhaiyya ?
Q ? ,1,q ?
hame bachpan se y batane ki kossis ki jati hai .  .  .  what is scam ? ,0,hame bachpan se y batane ki kossis ki jati hai . . . what is scam ?
Bas  abhi  khana  khakar  chuke  hain ,1,bas abhi khana khakar chuke hain
kya likhu han,0,kya likhu han
sneak peek: check out the 12 freebies you can get at cvs on black friday !  link in the first comment:,2,sneak peek: check out the <NUM> freebies you can get at cvs on black friday ! link in the first comment:
i agree .. the system is inefficient n relentlessly playing wid students careers ,0,i agree .. the system is inefficient n relentlessly playing wid students careers
Bhai hum aap par poora trust karte hai aur humme pta hai kabhi galat nahi karoge,2,bhai hum aap par poora trust karte hai aur humme pta hai kabhi galat nahi karoge
the momentous #aap victory for the second time is killing my work ethics for research. synopsis greys! why this kolaveri di? #delhidecides,1,the momentous #aap victory for the second time is killing my work ethics for research. synopsis greys! why this kolaveri di? #delhidecides
ab india ki thodi kam hui fikar,2,ab india ki thodi kam hui fikar
"@someUSER bruce willis ,  bill murray and ed norton all in the same film .  i may faint . ",2,"@someuser bruce willis , bill murray and ed norton all in the same film . i may faint ."
"Akshay, kaise ho. ",1,"akshay, kaise ho."
Usse hi Hindi me translate Kara lena ,0,usse hi hindi me translate kara lena
es worldcup me v guddu purani tv dekh raha hai .  .  . kam se kam led tv to de dete garbage ji .  .  . ,0,es worldcup me v guddu purani tv dekh raha hai . . . kam se kam led tv to de dete garbage ji . . .
real america will stand up for itself on tuesday and make it count .  mitt is ready to lead us out of our jimmy carter funk we're in,1,real america will stand up for itself on tuesday and make it count . mitt is ready to lead us out of our jimmy carter funk we're in
happy birthday to the coolest golfer in bali !  @someUSER  !  !  :) may you become cooler and cooler everyday !  stay humble little sister !  xx,2,happy birthday to the coolest golfer in bali ! @someuser ! ! :) may you become cooler and cooler everyday ! stay humble little sister ! xx
nai yar oldmonk mne aisa koi msg nai kia  ( i lyk ur posts ,1,nai yar oldmonk mne aisa koi msg nai kia ( i lyk ur posts
maa ch** dalo inki kal.. jeeto yaar #indvssa,0,maa ch** dalo inki kal.. jeeto yaar #indvssa
national margarita day ?  this is like christmas in july only with tequila .  .  . lots of tequila,2,national margarita day ? this is like christmas in july only with tequila . . . lots of tequila
Jaggi b to baap hai ,1,jaggi b to baap hai
Hiiii.... Bhaijaan kaiae hai aap...aap ki pic bahut achhi lag rahi hai,2,hiiii.... bhaijaan kaiae hai aap...aap ki pic bahut achhi lag rahi hai
" "" kendrick perkins led the league for the 4th year in a row in spm (scowls per minute) ""  literally laughed out loud",2,""" kendrick perkins led the league for the <NUM>th year in a row in spm (scowls per minute) "" literally laughed out loud"
Abe  sunna ,0,abe sunna
what you did may be a right thing  .  but still i hate guys who think like tht :-(,0,what you did may be a right thing . but still i hate guys who think like tht :-(
Salman bhai jan main apka wait kar rahi ho reply,1,salman bhai jan main apka wait kar rahi ho reply
bhai .  .  .  .  saara bachpan yaad aa gaya .  .  .  kaise apne ghar mein saare din ads ghoom ghoom kar gaate the .  .  .  bhai .  .  .  tahe dil se shukriya !  !  !  (y),2,bhai . . . . saara bachpan yaad aa gaya . . . kaise apne ghar mein saare din ads ghoom ghoom kar gaate the . . . bhai . . . tahe dil se shukriya ! ! ! (y)
rt @gareebguy: 2022 tak poverty khatam karne ka target hai. matlab utne saal tak zinda rehna padega. #unionbudget2015,2,rt @gareebguy: <NUM> tak poverty khatam karne ka target hai. matlab utne saal tak zinda rehna padega. #unionbudget<NUM>
"knowing the political consequences of #landacquisitionbill ,the govt. led by @narendramodi is committed to pass it !",1,"knowing the political consequences of #landacquisitionbill ,the govt. led by @narendramodi is committed to pass it !"
mtlb itni bezti hogai lekin kutte ki dum kbi sidhi nahi hogi...@bjpians still fighting and taunting...sharam kro ...#aapsweep #delhidecides,0,mtlb itni bezti hogai lekin kutte ki dum kbi sidhi nahi hogi...@bjpians still fighting and taunting...sharam kro ...#aapsweep #delhidecides
"jaan khatrey mein ho ,  toh oscar bhi duur nahi .  . ",1,"jaan khatrey mein ho , toh oscar bhi duur nahi . ."
rt @passiminakshi: satgur g dil ni lgda tuhade binaaaa dil ni lgda tuhade bina #msgyouthicon,1,rt @passiminakshi: satgur g dil ni lgda tuhade binaaaa dil ni lgda tuhade bina #msgyouthicon
pados ke uncle dekh lete the topa utarte hue  .  . had ye ki abba se keh bhi dete .  .  . aur ghar aate he shamat ajati thi .  .  .  .  . lkn hum tab bhi nhn sudharte the,0,pados ke uncle dekh lete the topa utarte hue . . had ye ki abba se keh bhi dete . . . aur ghar aate he shamat ajati thi . . . . . lkn hum tab bhi nhn sudharte the
tiger bahoot busy hai abhi... dont disterb cat,2,tiger bahoot busy hai abhi... dont disterb cat
"as a congressmen if you laugh at the potshots taken at us, u r a traitor &amp; if you dont you have hoods on #delhidecides",0,"as a congressmen if you laugh at the potshots taken at us, u r a traitor &amp; if you dont you have hoods on #delhidecides"
iski bc itni jaldi match aa rhe sala neend b puri nh ho rhi pta nh bc ye star wale #indvspak,0,iski bc itni jaldi match aa rhe sala neend b puri nh ho rhi pta nh bc ye star wale #indvspak
"this is an historical gag in this series . this signifies  "" guddu aab bara ho chuka hai ""   .  .  .  . ",2,"this is an historical gag in this series . this signifies "" guddu aab bara ho chuka hai "" . . . ."
see how paid and corrupt media in action to show live telecast of rally of corrupt political party to fool people of delhi . ,0,see how paid and corrupt media in action to show live telecast of rally of corrupt political party to fool people of delhi .
salman khan pareshan hiran se bjp pareshan kiran se said by aap volunteer #aapsweep,1,salman khan pareshan hiran se bjp pareshan kiran se said by aap volunteer #aapsweep
"champion trophy mai india pakistan kai match ke baad ek pakistani nai kaha no matter our team wins or loses  ,  we still love green coz blue to harpic bhi hota h  .  esake jawab mai ek indian nai kaha tum jaise hare toilet virus ya keede ko khatam krne ke liye hm harpic hone ke liye bhi tayar hei  .  .  :-)",1,"champion trophy mai india pakistan kai match ke baad ek pakistani nai kaha no matter our team wins or loses , we still love green coz blue to harpic bhi hota h . esake jawab mai ek indian nai kaha tum jaise hare toilet virus ya keede ko khatam krne ke liye hm harpic hone ke liye bhi tayar hei . . :-)"
world cup me india se pakistan ko harta dekhte hue bahut acha lagta hai,2,world cup me india se pakistan ko harta dekhte hue bahut acha lagta hai
Kitna aalsi bnega ,1,kitna aalsi bnega
Sir bhajrangi bhaijan....sabse achii film hogi.....boollywodd mein. ...I wish,2,sir bhajrangi bhaijan....sabse achii film hogi.....boollywodd mein. ...i wish
Ek new status pe baat krte haii ;),1,ek new status pe baat krte haii ;)
watching kentucky all access makes me want it to be monday,1,watching kentucky all access makes me want it to be monday
love your nation/pray for the people in danger/help them atleast 4 some days  .  ladki se pyar karne ko zindagi padi hai bhai  .  desh se bhi kuch pyar kar lo  .  .  . ,1,love your nation/pray for the people in danger/help them atleast <NUM> some days . ladki se pyar karne ko zindagi padi hai bhai . desh se bhi kuch pyar kar lo . . .
@someUSER justin is going tea time with sophia grace and rose tomorrow on the ellen show at 4 on really :),2,@someuser justin is going tea time with sophia grace and rose tomorrow on the ellen show at <NUM> on really :)
Ohoo bhai ,1,ohoo bhai
"video of the 1st points for anthony davis ,  lin ,  harden ,  rivers ,  drummond ,  harrison barnes &amp; jrich on their new teams http/URL",1,"video of the <NUM>st points for anthony davis , lin , harden , rivers , drummond , harrison barnes &amp; jrich on their new teams http/url"
Asslamalaikum salaman bhai,1,asslamalaikum salaman bhai
Sir ji kamal kardi apne vides me bhi.,2,sir ji kamal kardi apne vides me bhi.
mommy ki yaad aa gayi,1,mommy ki yaad aa gayi
aur ye out x-(,0,aur ye out x-(
rt imsreed: bring it on..! #indvspak #cwc15 #indiawins http://t.co/efhm7tiixk,1,rt imsreed: bring it on..! #indvspak #cwc<NUM> #indiawins http://t.co/efhm<NUM>tiixk
"@someUSER yes ,  anything possible ,  but u didnt answer 2nd question .  why back to 67 borders ?  to make israel weaker militarily ? if so , why ?  ? ",1,"@someuser yes , anything possible , but u didnt answer <NUM>nd question . why back to <NUM> borders ? to make israel weaker militarily ? if so , why ? ?"
4 baj gye lekin salman hJi kha h..,1,<NUM> baj gye lekin salman hji kha h..
bhagwan hai kahan re tu song lyrics from pk movie http://t.co/jmext4is3h,1,bhagwan hai kahan re tu song lyrics from pk movie http://t.co/jmext<NUM>is<NUM>h
acha ge ,1,acha ge
Home guard logo ki bhalaye karo pechele baad me bade bade kaam kerna.Chotta sa kaam kerdo pechele,2,home guard logo ki bhalaye karo pechele baad me bade bade kaam kerna.chotta sa kaam kerdo pechele
"kejriwal ko log cm maan chuke hai ,  sirf kuchh dino ki der hai . ",1,"kejriwal ko log cm maan chuke hai , sirf kuchh dino ki der hai ."
mai to family k sath tv hi dekh rhi hu new year eve me .  .  sbse mast new year celebration  .  .  .  .  .  :-d,2,mai to family k sath tv hi dekh rhi hu new year eve me . . sbse mast new year celebration . . . . . :-d
Kuch na yaar leta hun  bas ,1,kuch na yaar leta hun bas
Aap film me bajarangi hai ki Bhai jaan,1,aap film me bajarangi hai ki bhai jaan
Mujhe toh teeno books pasand aae .. chetan bhagat iz a gud author .. but meno library se li thy so money waste ni hui ,1,mujhe toh teeno books pasand aae .. chetan bhagat iz a gud author .. but meno library se li thy so money waste ni hui
"#rahulonleave , hope isbar hume barati banney nasib ho.",2,"#rahulonleave , hope isbar hume barati banney nasib ho."
Na bhai.. Wo t 0 baje se Hi shuru hojata hai ,2,na bhai.. wo t <NUM> baje se hi shuru hojata hai
"best is sharma ji ka bete ki dhunayi wali pic isi laundey k karan mujhe mere parents aj bhi sunne hai' ""  sharma ji k bete ko dekho  ""  :p  . ",2,"best is sharma ji ka bete ki dhunayi wali pic isi laundey k karan mujhe mere parents aj bhi sunne hai' "" sharma ji k bete ko dekho "" :p ."
wo sab to thik h .  par ladka apna maar dhaad me superman h :d,2,wo sab to thik h . par ladka apna maar dhaad me superman h :d
abki bar bjp  .  .  .  last bar congress hari thi,1,abki bar bjp . . . last bar congress hari thi
" "" did you see that andy carroll header ?  what technique !  ""   "" c'mon !  that's not technique .  technique is passing the ball 5 yards 50 times .  "" ",0,""" did you see that andy carroll header ? what technique ! "" "" c'mon ! that's not technique . technique is passing the ball <NUM> yards <NUM> times . """
Thak gaya jaada ,1,thak gaya jaada
kejriwal ko itna knowledge nahi hai .  .  . ,1,kejriwal ko itna knowledge nahi hai . . .
Mac book air ,1,mac book air
"ap ka sb film dekta hu, me v bajrnag Bali ka bhkt hu, jai bajrang bali ji, ap film nam se suprhit ho gya, nam se,hi ap ke dusmn bahg jayga,",2,"ap ka sb film dekta hu, me v bajrnag bali ka bhkt hu, jai bajrang bali ji, ap film nam se suprhit ho gya, nam se,hi ap ke dusmn bahg jayga,"
gud job by media . aise logon ke baare mein news update karo jis se log inspired hon . ,2,gud job by media . aise logon ke baare mein news update karo jis se log inspired hon .
kabi kabi to doosri class se dandaa laane ko b bolte they .  .  :-),1,kabi kabi to doosri class se dandaa laane ko b bolte they . . :-)
happy republic day to all the indians .  may your country prosper and may you continue to provide the world with your beautiful sports competitions like the ipl and the football league,2,happy republic day to all the indians . may your country prosper and may you continue to provide the world with your beautiful sports competitions like the ipl and the football league
"#aapsweep yar mere yaha bhi kamwali bai nahi aayi, kar doge kya?",1,"#aapsweep yar mere yaha bhi kamwali bai nahi aayi, kar doge kya?"
if ppl have liberty to eat a meat they like thn y not they have freedom to eat human meat #beefban,1,if ppl have liberty to eat a meat they like thn y not they have freedom to eat human meat #beefban
sabsidy to pahle bhi mil rahi thy,2,sabsidy to pahle bhi mil rahi thy
This admin is a mentaly chalenged guy jo itna bi diffrnce ni smaj pa rha ki jayram ramesh ne kya kha tha or modi ne kya kha h .... ,1,this admin is a mentaly chalenged guy jo itna bi diffrnce ni smaj pa rha ki jayram ramesh ne kya kha tha or modi ne kya kha h ....
@someUSER haha brilliant !  !  morning katie .  .  . happy friday !  bodg loves the drawing of him !  m,2,@someuser haha brilliant ! ! morning katie . . . happy friday ! bodg loves the drawing of him ! m
ok! so we need david miller to extend that bat #proteafire #indvssa #savsind,1,ok! so we need david miller to extend that bat #proteafire #indvssa #savsind
"happy new year guddu ,  tum hamesha aise he rehna ,  chahe jitne bhi saal gujarjaye",2,"happy new year guddu , tum hamesha aise he rehna , chahe jitne bhi saal gujarjaye"
"a #rahulonleave is missing again the 1ly difference is this time it's in #news ,who cares these days as he does anything by living around",0,"a #rahulonleave is missing again the <NUM>ly difference is this time it's in #news ,who cares these days as he does anything by living around"
Sir swach bharat mission ko gawon se shahro ki taraf lao Sir mission ki jinmedaari nagar nigam or parishd ko uttardaitav do Thanks,2,sir swach bharat mission ko gawon se shahro ki taraf lao sir mission ki jinmedaari nagar nigam or parishd ko uttardaitav do thanks
@someUSER happy 16th birthday rella  .  get drunk for me frl  .  enjoy your day &amp; wish you many more  ! ,2,@someuser happy <NUM>th birthday rella . get drunk for me frl . enjoy your day &amp; wish you many more !
after watching the campaign again i have realized that step brothers is still the funniest will ferrell movie but this one is in 2nd place,2,after watching the campaign again i have realized that step brothers is still the funniest will ferrell movie but this one is in <NUM>nd place
bhai aapko bajrang bali ki kasam aa jao,1,bhai aapko bajrang bali ki kasam aa jao
porto is even more amazing as the sun sets .  .  .  http/URL,2,porto is even more amazing as the sun sets . . . http/url
lo aa gaye bhagwan ! ,1,lo aa gaye bhagwan !
ind in #cwc15 no of dropped catches 0/19 quite interesting record from blue men @starsportsindia #indvsuae,2,ind in #cwc<NUM> no of dropped catches <NUM>/<NUM> quite interesting record from blue men @starsportsindia #indvsuae
akhil sharma chk this out,1,akhil sharma chk this out
aam admi jindabad,2,aam admi jindabad
Kya ho gaya ,0,kya ho gaya
mai apka ek chota sa fain hu,2,mai apka ek chota sa fain hu
